question,answer,context,source,subdomain
What role do faculty play in the educational experience within the department?,Faculty are expert and contribute to innovative teaching and research.,"Chemical Engineering World renowned faculty, state-of-the-art facilities, innovative teaching and research prepare students to solve problems and positively impact the world.",http://cpe.engr.ku.edu/research-centers,cpe.engr.ku.edu
In which fields does Michael Branicky apply his research on cyber-physical systems?,"Michael Branicky applies his research in fields such as agriculture, energy, health care, manufacturing, and transportation.","These systems are applied to a wide range of areas such as agriculture, energy, health care, manufacturing and transportation.",https://engr.ku.edu/news/article/engineering-professor-named-aaas-fellow,engr.ku.edu
What aspects of signal processing are included in the Signals and Systems topic of the Ph.D. Qualifying Exams?,"Aspects include design and implementation of digital filtering, estimation and detection theory, communication theory, information theory, and optimization theory for signals.","Signals and Systems includes signal processing, design and implementation of digital filtering, estimation and detection theory, communication theory, information theory, and optimization theory for the transmission, reception, and extraction of information-bearing signals from noise and interference.",https://eecs.ku.edu/phd-qualifying-exam-topics,eecs.ku.edu
What kind of communication role does Cody Howard fulfill for the School of Engineering?,"He communicates news of School of Engineering achievements, research and events.","Communicates news of School of Engineering achievements, research and events",https://engr.ku.edu/people/cody-howard,engr.ku.edu
What specific classes are allowed to have alternate examination times during the final exam period?,"Alternate examination times for MATH 2 and MATH 101 are available on Monday, Tuesday, and Wednesday.","Alternate examination times for MATH 2 and MATH 101 will be available on Monday, Tuesday, and Wednesday. These alternate times and information on how to register will be announced by the Kansas Algebra Program.",https://registrar.ku.edu/fall-2025-final-exam-schedule,registrar.ku.edu
How much total scholarship money is awarded to the winning teams in the High School Design event?,"$12,000 in scholarships will be awarded to the winning teams across the six engineering disciplines.","A total of $12,000 in scholarships will be awarded to the winning teams across the six engineering disciplines.",https://engr.ku.edu/high-school-design-competition,engr.ku.edu
What is the main reason the University of Kansas does not provide invitation letters for family members applying for a B-2 tourist visa?,The University of Kansas does not write an invitation letter for your family to visit you in the United States.,The University of Kansas will not write an invitation letter for your family to visit you in the United States.,https://iss.ku.edu/invitation-letter-family,iss.ku.edu
What focus areas were covered during the Information Technology Workshop attended by Kansas City public school students?,"The workshop covered web-design, cyber security, and system-administration, along with college and career planning sessions geared toward the IT industry.","About 80 students from the Kansas City, Kansas Public Schools attended the Information Technology Workshop at the KU Edwards Campus on Oct. 24. BSIT faculty ran the event that covered web-design, cyber security and system-administration, along with college and career planning sessions geared toward the IT industry.",https://eecs.ku.edu/news?page=4,eecs.ku.edu
What additional funding sources are available for graduate students outside of university offerings?,Students are encouraged to seek private or outside funding and utilize the Pivot database for finding funding specific to their field.,"External Funding Students may seek private or outside funding. We encourage students to use the Pivot database, as well as speak to their advisors, departmental contacts, or graduate mentors for guidance...",https://engr.ku.edu/grad-funding,engr.ku.edu
"What role does Jeffrey Burns, M.D., M.S. hold at the University of Kansas Health System?",He is the Director of the Clinical And Translational Science Unit and the Director of the Memory Care Clinic.,"Jeffrey Burns, M.D., M.S. -Professor, Neurology -Director, Clinical And Translational Science Unit -Director, Memory Care Clinic, University of Kansas Health System",http://bioengr.ku.edu/clinical-affiliates,bioengr.ku.edu
